person_id,model,scaffold,seed,theta_mean,theta_sd,raw_score
claude-haiku-4-5|baseline|run1,claude-haiku-4-5,baseline,run1,-1.0375456809997559,0.2268613576889038,0.30666666666666664
claude-haiku-4-5|baseline|run2,claude-haiku-4-5,baseline,run2,-1.0340561866760254,0.22001318633556366,0.30666666666666664
claude-haiku-4-5|baseline|run3,claude-haiku-4-5,baseline,run3,-1.036383032798767,0.22352111339569092,0.30666666666666664
claude-haiku-4-5|baseline|run4,claude-haiku-4-5,baseline,run4,-1.0329989194869995,0.21741490066051483,0.30666666666666664
claude-haiku-4-5|baseline|run5,claude-haiku-4-5,baseline,run5,-1.0304746627807617,0.22611208260059357,0.30666666666666664
claude-haiku-4-5|careful|run1,claude-haiku-4-5,careful,run1,-1.0333352088928223,0.22011631727218628,0.30666666666666664
claude-haiku-4-5|careful|run2,claude-haiku-4-5,careful,run2,-1.0332053899765015,0.21801219880580902,0.30666666666666664
claude-haiku-4-5|careful|run3,claude-haiku-4-5,careful,run3,-1.2934014797210693,0.23959119617938995,0.28
claude-haiku-4-5|careful|run4,claude-haiku-4-5,careful,run4,-1.206943392753601,0.23696479201316833,0.28
claude-haiku-4-5|careful|run5,claude-haiku-4-5,careful,run5,-1.033651351928711,0.2208189070224762,0.30666666666666664
claude-haiku-4-5|careless|run1,claude-haiku-4-5,careless,run1,-0.4900316596031189,0.1662539690732956,0.37333333333333335
claude-haiku-4-5|careless|run2,claude-haiku-4-5,careless,run2,-0.47446972131729126,0.16552495956420898,0.38666666666666666
claude-haiku-4-5|careless|run3,claude-haiku-4-5,careless,run3,-0.5583899021148682,0.17332014441490173,0.38666666666666666
claude-haiku-4-5|careless|run4,claude-haiku-4-5,careless,run4,-0.5827423334121704,0.1748916059732437,0.37333333333333335
claude-haiku-4-5|careless|run5,claude-haiku-4-5,careless,run5,-0.6407532095909119,0.18562515079975128,0.37333333333333335
claude-haiku-4-5|cautious_scientist|run1,claude-haiku-4-5,cautious_scientist,run1,-2.562886953353882,0.2919307053089142,0.13333333333333333
claude-haiku-4-5|cautious_scientist|run2,claude-haiku-4-5,cautious_scientist,run2,-2.729860305786133,0.317109078168869,0.12
claude-haiku-4-5|cautious_scientist|run3,claude-haiku-4-5,cautious_scientist,run3,-2.5952467918395996,0.2934401035308838,0.12
claude-haiku-4-5|cautious_scientist|run4,claude-haiku-4-5,cautious_scientist,run4,-2.7356486320495605,0.318381667137146,0.12
claude-haiku-4-5|cautious_scientist|run5,claude-haiku-4-5,cautious_scientist,run5,-2.5977041721343994,0.30033454298973083,0.12
claude-haiku-4-5|contrarian|run1,claude-haiku-4-5,contrarian,run1,-2.9583022594451904,0.3600670099258423,0.08
claude-haiku-4-5|contrarian|run2,claude-haiku-4-5,contrarian,run2,-3.1845476627349854,0.39264294505119324,0.08
claude-haiku-4-5|contrarian|run3,claude-haiku-4-5,contrarian,run3,-2.93769907951355,0.3509446978569031,0.09333333333333334
claude-haiku-4-5|contrarian|run4,claude-haiku-4-5,contrarian,run4,-3.7978172302246094,0.48414215445518494,0.05333333333333334
claude-haiku-4-5|contrarian|run5,claude-haiku-4-5,contrarian,run5,-3.2134742736816406,0.40038177371025085,0.06666666666666667
claude-haiku-4-5|cot|run1,claude-haiku-4-5,cot,run1,-1.031800627708435,0.22988499701023102,0.30666666666666664
claude-haiku-4-5|cot|run2,claude-haiku-4-5,cot,run2,-1.0326858758926392,0.22296108305454254,0.30666666666666664
