item_idx,sample_id,difficulty_b,discrimination_a,raw_correct_rate
0,1,-1.5960978,1.2004591,0.9333333333333333
1,2,0.07521071,1.6192361,0.7333333333333333
2,3,-2.493823,1.4918373,1.0
3,4,-2.5302308,1.4750739,1.0
4,5,-2.515198,1.4828728,1.0
5,6,0.4126796,1.8632655,0.6666666666666666
6,7,-2.5307138,1.4684352,1.0
7,8,-2.5172668,1.4692584,1.0
8,9,0.08431482,0.9361672,0.6666666666666666
9,10,-2.5473027,1.4637693,1.0
10,11,-2.543628,1.4634715,1.0
11,12,-2.50939,1.4694084,1.0
12,13,-2.4969144,1.4838796,1.0
13,14,0.56138706,0.4867677,0.5333333333333333
14,15,-2.5042691,1.4778172,1.0
15,16,-1.1409901,1.017362,0.8666666666666667
16,17,-2.5123045,1.4701297,1.0
17,18,-2.5357232,1.4548663,1.0
18,19,-0.15812209,1.1475275,0.7333333333333333
19,20,-1.4420446,0.77080184,0.8666666666666667
20,21,-2.5425417,1.4819864,1.0
21,22,2.5010304,1.1136082,0.2
22,23,-2.5173123,1.4780843,1.0
23,24,-2.5240405,1.4876605,1.0
24,25,0.015183098,1.5117224,0.7333333333333333
25,26,0.06527456,1.6422036,0.7333333333333333
26,27,-2.539587,1.4667865,1.0
27,28,-2.5397546,1.4796731,1.0
28,29,-1.6370578,1.1499516,0.9333333333333333
29,30,1.9317994,0.58327115,0.3333333333333333
30,31,-2.5506678,1.4688201,1.0
31,32,-2.5071986,1.471827,1.0
32,33,-2.5627205,1.4623313,1.0
33,34,-1.9011277,0.9241056,0.9333333333333333
34,35,-1.4607203,1.3608584,0.9333333333333333
35,36,-2.5274632,1.4861585,1.0
36,37,-2.5352256,1.46328,1.0
37,38,-2.5413043,1.4818872,1.0
38,39,1.1124635,0.7320576,0.4666666666666667
39,40,4.010533,1.5906134,0.0
40,41,-2.5138571,1.4669167,1.0
41,42,-2.5517402,1.4573195,1.0
42,43,1.156156,0.942643,0.4666666666666667
43,44,-2.504991,1.4990057,1.0
44,45,1.1515309,1.2245752,0.4666666666666667
45,46,0.017902708,1.501504,0.7333333333333333
46,47,-1.8623446,0.95404994,0.9333333333333333
47,48,-0.87440556,1.3345853,0.8666666666666667
48,49,-0.549771,1.1622944,0.8
49,50,-0.41325042,1.3322812,0.8
